Stock,IPO_Date
AAPL,1980-12-12
NVDA,1999-01-22
MSFT,1986-03-13
AMZN,1997-05-15
GOOGL,2004-08-19
GOOG,2004-08-19
META,2012-05-18
TSLA,2010-06-29
AVGO,2009-08-06
BRK-B,1996-05-09
WMT,1972-08-25
LLY,1972-06-01
JPM,1980-03-17
V,2008-03-19
MA,2006-05-25
ORCL,1986-03-12
XOM,1978-01-13
UNH,1984-10-17
COST,1986-07-09
PG,1978-01-13
HD,1981-09-22
NFLX,2002-05-23
JNJ,1943-01-02
BAC,1973-02-21
CRM,2004-06-23
ABBV,2013-01-02
KO,1919-09-05
TMUS,2007-04-19
CVX,1921-06-24
MRK,1978-01-13
WFC,1972-06-01
CSCO,1990-02-16
ACN,2001-07-19
NOW,2012-06-29
AXP,1972-06-01
MCD,1965-04-21
PEP,1972-06-01
BX,2007-06-22
IBM,1915-09-24
DIS,1957-11-12
LIN,1992-06-17
TMO,1980-03-17
MS,1993-02-23
ABT,1980-03-17
ADBE,1986-08-13
AMD,1980-03-17
PM,2008-03-17
ISRG,2000-06-16
PLTR,2020-09-30
GE,1962-01-02
INTU,1993-03-12
GS,1999-05-04
CAT,1929-12-02
TXN,1972-06-01
QCOM,1991-12-13
VZ,1983-11-21
BKNG,1999-03-31
DHR,1978-12-29
T,1983-11-21
BLK,1999-10-01
RTX,1952-09-15
SPGI,2016-04-28
PFE,1972-06-01
HON,2001-02-21
NEE,2014-06-19
CMCSA,1980-03-17
ANET,2014-06-06
AMGN,1983-06-17
PGR,1980-03-17
LOW,1980-03-17
SYK,1980-03-17
UNP,1980-01-02
TJX,1987-06-26
KKR,2010-07-15
SCHW,1987-09-22
ETN,1972-06-01
AMAT,1980-03-17
BA,1962-01-02
BSX,1992-05-19
C,1977-01-03
UBER,2019-05-10
COP,1981-12-31
PANW,2012-07-20
ADP,1980-03-17
DE,1972-06-01
FI,1986-09-25
BMY,1972-06-01
LMT,1977-01-03
GILD,1992-01-22
NKE,1980-12-02
CB,1993-03-25
UPS,1999-11-10
ADI,1980-03-17
MMC,1987-12-30
MDT,1973-05-02
VRTX,1991-07-24
MU,1984-06-01
SBUX,1992-06-26
PLD,1997-11-21
GEV,2024-03-27
LRCX,1984-05-04
MO,1985-07-01
SO,1981-12-31
EQIX,2000-08-11
CRWD,2019-06-12
PYPL,2015-07-06
SHW,1980-03-17
ICE,2005-11-16
CME,2002-12-06
AMT,1998-02-27
APH,1991-11-08
ELV,2001-10-30
TT,1980-03-17
MCO,1994-10-31
CMG,2006-01-26
INTC,1980-03-17
KLAC,1980-10-08
ABNB,2020-12-10
DUK,1980-03-17
PH,1980-03-17
CDNS,1987-06-10
WM,1988-06-22
DELL,2016-08-17
MDLZ,2001-06-13
MAR,1998-03-23
MSI,1980-03-17
WELL,1980-03-19
AON,1980-06-02
REGN,1991-04-02
CI,1982-03-31
